iter	Passed	Remaining
143	446	1103
144	450	1102
145	453	1100
146	457	1098
147	461	1097
148	465	1095
149	468	1093
150	471	1090
151	475	1088
152	479	1086
153	482	1084
154	486	1082
155	489	1079
156	493	1077
157	496	1075
158	499	1072
159	503	1069
160	507	1067
161	510	1065
162	514	1063
163	517	1060
164	521	1057
165	524	1055
166	528	1053
167	531	1050
168	535	1048
169	538	1045
170	542	1043
171	545	1040
172	549	1038
173	552	1036
174	556	1033
175	560	1031
176	563	1028
177	567	1026
178	571	1024
179	573	1019
180	576	1016
181	580	1014
182	583	1011
183	587	1009
184	588	1002
185	592	999
186	593	992
187	596	990
188	599	987
189	603	984
190	607	982
191	610	979
192	613	976
193	617	973
194	619	969
195	623	966
196	624	960
197	626	954
198	627	949
199	631	946
200	634	943
201	637	940
202	641	938
203	645	935
204	648	933
205	652	930
206	655	927
207	659	925
208	662	922
209	666	919
210	669	917
211	673	914
212	675	909
213	678	906
214	680	901
215	683	898
216	687	896
217	690	893
218	691	887
219	692	881
220	696	878
221	699	876
222	701	871
223	703	867
224	707	864
225	710	861
226	711	856
227	715	853
228	719	850
229	722	848
230	726	845
231	729	842
232	733	839
233	736	837
234	737	831
235	741	829
236	744	826
237	749	824
238	752	822
239	756	819
240	760	817
241	763	814
242	764	808
243	768	806
244	769	801
245	773	798
246	777	795
247	780	793
248	783	790
249	787	787
250	790	784
251	794	781
252	797	779
253	801	776
254	804	773
255	808	770
256	812	767
257	815	765
258	819	762
259	822	759
260	824	754
261	827	751
262	831	749
263	832	744
264	835	741
265	839	738
266	843	735
267	846	732
268	850	730
269	852	726
270	854	721
271	857	719
272	861	716
273	862	711
274	866	709
275	870	706
276	873	703
277	877	700
278	880	697
279	882	693
280	885	690
281	886	685
282	890	682
283	894	680
284	897	677
285	901	674
286	904	671
287	908	668
288	912	665
289	915	662
290	917	659
291	921	656
292	924	653
293	928	650
294	932	647
295	933	643
296	935	639
297	939	636
298	940	632
299	941	627
300	942	622
301	945	620
302	949	617
303	952	614
304	956	611
305	960	608
306	963	605
307	967	602
308	970	599
309	974	597
310	977	593
311	978	589
312	982	586
313	985	583
314	989	580
315	992	577
316	995	574
317	997	571
318	1001	567
319	1004	565
320	1008	562
321	1011	559
322	1015	556
323	1019	553
324	1022	550
325	1024	546
326	1028	543
327	1031	541
328	1035	538
329	1039	535
330	1042	532
331	1046	529
332	1049	526
333	1053	523
334	1057	520
335	1061	517
336	1062	513
337	1065	510
338	1067	507
339	1071	504
340	1075	501
341	1078	498
342	1079	494
343	1083	491
344	1087	488
345	1090	485
346	1094	482
347	1097	479
348	1101	476
349	1105	473
350	1108	470
351	1112	467
352	1115	464
353	1119	461
354	1123	459
355	1127	455
356	1130	452
357	1134	449
358	1138	447
359	1141	443
360	1145	440
361	1148	437
362	1152	434
363	1156	431
364	1159	428
365	1162	425
366	1166	422
367	1169	419
368	1173	416
369	1174	412
370	1176	409
371	1180	406
372	1183	403
373	1184	399
374	1188	396
375	1192	393
376	1195	390
377	1199	387
378	1202	384
379	1206	381
380	1210	377
381	1213	374
382	1216	371
383	1220	368
384	1223	365
385	1227	362
386	1231	359
387	1234	356
388	1236	352
389	1240	350
390	1245	347
391	1248	344
392	1252	340
393	1256	337
394	1259	334
395	1262	331
396	1266	328
397	1268	325
398	1272	322
399	1275	318
400	1279	315
401	1282	312
402	1286	309
403	1290	306
404	1293	303
405	1297	300
406	1300	297
407	1304	294
408	1307	290
409	1308	287
410	1312	284
411	1316	281
412	1319	277
413	1323	274
414	1326	271
415	1329	268
416	1333	265
417	1337	262
418	1340	259
419	1344	256
420	1347	252
421	1348	249
422	1352	246
423	1355	242
424	1358	239
425	1362	236
426	1365	233
427	1369	230
428	1373	227
429	1376	224
430	1379	220
431	1381	217
432	1382	213
433	1386	210
434	1390	207
435	1390	204
436	1394	201
437	1397	197
438	1401	194
439	1402	191
440	1405	188
441	1409	184
442	1413	181
443	1416	178
444	1420	175
445	1423	172
446	1424	168
447	1425	165
448	1429	162
449	1432	159
450	1436	156
451	1440	152
452	1441	149
453	1445	146
454	1449	143
455	1450	140
456	1452	136
457	1455	133
458	1459	130
459	1460	126
460	1463	123
461	1467	120
462	1470	117
463	1474	114
464	1478	111
465	1482	108
466	1486	105
467	1489	101
468	1493	98
469	1494	95
470	1498	92
471	1499	88
472	1503	85
473	1506	82
